doc_id,position,field,predicted,truth,correct,json_valid
about_us_begin_046,begin,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_begin_046,begin,department,Operations,Operations,1,1
about_us_begin_046,begin,years_at_company,3,3,1,1
about_us_begin_046,begin,weekly_hours,45,45,1,1
about_us_begin_046,begin,ALL_FIELDS,,,1,1
about_us_middle_053,middle,job_title,Business Analyst,Business Analyst,1,1
about_us_middle_053,middle,department,Business Intelligence,Business Intelligence,1,1
about_us_middle_053,middle,years_at_company,2,2,1,1
about_us_middle_053,middle,weekly_hours,40,40,1,1
about_us_middle_053,middle,ALL_FIELDS,,,1,1
about_us_end_093,end,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_end_093,end,department,Marketing Analytics,Marketing Analytics,1,1
about_us_end_093,end,years_at_company,5,5,1,1
about_us_end_093,end,weekly_hours,35,35,1,1
about_us_end_093,end,ALL_FIELDS,,,1,1
about_us_begin_011,begin,job_title,Software Engineer,Software Engineer,1,1
about_us_begin_011,begin,department,Marketing Analytics,Marketing Analytics,1,1
about_us_begin_011,begin,years_at_company,5,5,1,1
about_us_begin_011,begin,weekly_hours,35,35,1,1
about_us_begin_011,begin,ALL_FIELDS,,,1,1
about_us_middle_004,middle,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_middle_004,middle,department,Data Platform,Data Platform,1,1
about_us_middle_004,middle,years_at_company,4,4,1,1
about_us_middle_004,middle,weekly_hours,35,35,1,1
about_us_middle_004,middle,ALL_FIELDS,,,1,1
about_us_end_085,end,job_title,Data Scientist,Data Scientist,1,1
about_us_end_085,end,department,Finance Analytics,Finance Analytics,1,1
about_us_end_085,end,years_at_company,5,5,1,1
about_us_end_085,end,weekly_hours,45,45,1,1
about_us_end_085,end,ALL_FIELDS,,,1,1
about_us_begin_007,begin,job_title,Business Analyst,Business Analyst,1,1
about_us_begin_007,begin,department,Finance Analytics,Finance Analytics,1,1
about_us_begin_007,begin,years_at_company,6,6,1,1
about_us_begin_007,begin,weekly_hours,35,35,1,1
about_us_begin_007,begin,ALL_FIELDS,,,1,1
about_us_middle_012,middle,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_middle_012,middle,department,Product Analytics,Product Analytics,1,1
about_us_middle_012,middle,years_at_company,4,4,1,1
about_us_middle_012,middle,weekly_hours,35,35,1,1
about_us_middle_012,middle,ALL_FIELDS,,,1,1
about_us_middle_100,middle,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_middle_100,middle,department,Operations,Operations,1,1
about_us_middle_100,middle,years_at_company,3,3,1,1
about_us_middle_100,middle,weekly_hours,45,45,1,1
about_us_middle_100,middle,ALL_FIELDS,,,1,1
about_us_begin_050,begin,job_title,Data Scientist,Data Scientist,1,1
about_us_begin_050,begin,department,Data Platform,Data Platform,1,1
about_us_begin_050,begin,years_at_company,4,4,1,1
about_us_begin_050,begin,weekly_hours,35,35,1,1
about_us_begin_050,begin,ALL_FIELDS,,,1,1
about_us_middle_045,middle,job_title,Data Scientist,Data Scientist,1,1
about_us_middle_045,middle,department,Marketing Analytics,Marketing Analytics,1,1
about_us_middle_045,middle,years_at_company,4,4,1,1
about_us_middle_045,middle,weekly_hours,35,35,1,1
about_us_middle_045,middle,ALL_FIELDS,,,1,1
about_us_end_046,end,job_title,Data Scientist,Data Scientist,1,1
about_us_end_046,end,department,People Operations,People Operations,1,1
about_us_end_046,end,years_at_company,2,2,1,1
about_us_end_046,end,weekly_hours,40,40,1,1
about_us_end_046,end,ALL_FIELDS,,,1,1
about_us_end_011,end,job_title,Data Scientist,Data Scientist,1,1
about_us_end_011,end,department,Marketing Analytics,Marketing Analytics,1,1
about_us_end_011,end,years_at_company,6,6,1,1
about_us_end_011,end,weekly_hours,40,40,1,1
about_us_end_011,end,ALL_FIELDS,,,1,1
about_us_middle_069,middle,job_title,Business Analyst,Business Analyst,1,1
about_us_middle_069,middle,department,People Operations,People Operations,1,1
about_us_middle_069,middle,years_at_company,6,6,1,1
about_us_middle_069,middle,weekly_hours,35,35,1,1
about_us_middle_069,middle,ALL_FIELDS,,,1,1
about_us_begin_093,begin,job_title,Software Engineer,Software Engineer,1,1
about_us_begin_093,begin,department,Business Intelligence,Business Intelligence,1,1
about_us_begin_093,begin,years_at_company,6,6,1,1
about_us_begin_093,begin,weekly_hours,45,45,1,1
about_us_begin_093,begin,ALL_FIELDS,,,1,1
about_us_middle_086,middle,job_title,Software Engineer,Software Engineer,1,1
about_us_middle_086,middle,department,Operations,Operations,1,1
about_us_middle_086,middle,years_at_company,5,5,1,1
about_us_middle_086,middle,weekly_hours,40,40,1,1
about_us_middle_086,middle,ALL_FIELDS,,,1,1
about_us_end_007,end,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_end_007,end,department,Product Analytics,Product Analytics,1,1
about_us_end_007,end,years_at_company,6,6,1,1
about_us_end_007,end,weekly_hours,40,40,1,1
about_us_end_007,end,ALL_FIELDS,,,1,1
about_us_begin_085,begin,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_begin_085,begin,department,Business Intelligence,Business Intelligence,1,1
about_us_begin_085,begin,years_at_company,3,3,1,1
about_us_begin_085,begin,weekly_hours,40,40,1,1
about_us_begin_085,begin,ALL_FIELDS,,,1,1
about_us_middle_090,middle,job_title,Senior Data Scientist,Senior Data Scientist,1,1
about_us_middle_090,middle,department,Marketing Analytics,Marketing Analytics,1,1
about_us_middle_090,middle,years_at_company,6,6,1,1
about_us_middle_090,middle,weekly_hours,45,45,1,1
about_us_middle_090,middle,ALL_FIELDS,,,1,1
about_us_end_050,end,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_end_050,end,department,Marketing Analytics,Marketing Analytics,1,1
about_us_end_050,end,years_at_company,4,4,1,1
about_us_end_050,end,weekly_hours,45,45,1,1
about_us_end_050,end,ALL_FIELDS,,,1,1
about_us_middle_028,middle,job_title,Product Manager,Product Manager,1,1
about_us_middle_028,middle,department,Business Intelligence,Business Intelligence,1,1
about_us_middle_028,middle,years_at_company,7,7,1,1
about_us_middle_028,middle,weekly_hours,40,40,1,1
about_us_middle_028,middle,ALL_FIELDS,,,1,1
about_us_end_027,end,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_end_027,end,department,Marketing Analytics,Marketing Analytics,1,1
about_us_end_027,end,years_at_company,6,6,1,1
about_us_end_027,end,weekly_hours,45,45,1,1
about_us_end_027,end,ALL_FIELDS,,,1,1
about_us_middle_008,middle,job_title,Senior Data Analyst,Senior Data Analyst,1,1
about_us_middle_008,middle,department,Data Platform,Data Platform,1,1
about_us_middle_008,middle,years_at_company,7,7,1,1
about_us_middle_008,middle,weekly_hours,45,45,1,1
about_us_middle_008,middle,ALL_FIELDS,,,1,1
about_us_end_070,end,job_title,Senior Data Scientist,Senior Data Scientist,1,1
about_us_end_070,end,department,Business Intelligence,Business Intelligence,1,1
about_us_end_070,end,years_at_company,5,5,1,1
about_us_end_070,end,weekly_hours,45,45,1,1
about_us_end_070,end,ALL_FIELDS,,,1,1
about_us_end_066,end,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_end_066,end,department,Business Intelligence,Business Intelligence,1,1
about_us_end_066,end,years_at_company,6,6,1,1
about_us_end_066,end,weekly_hours,40,40,1,1
about_us_end_066,end,ALL_FIELDS,,,1,1
about_us_end_089,end,job_title,Data Analyst,Data Analyst,1,1
about_us_end_089,end,department,Engineering,Engineering,1,1
about_us_end_089,end,years_at_company,7,7,1,1
about_us_end_089,end,weekly_hours,45,45,1,1
about_us_end_089,end,ALL_FIELDS,,,1,1
about_us_middle_049,middle,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_middle_049,middle,department,Finance Analytics,Finance Analytics,1,1
about_us_middle_049,middle,years_at_company,4,4,1,1
about_us_middle_049,middle,weekly_hours,40,40,1,1
about_us_middle_049,middle,ALL_FIELDS,,,1,1
about_us_end_031,end,job_title,Data Scientist,Data Scientist,1,1
about_us_end_031,end,department,People Operations,People Operations,1,1
about_us_end_031,end,years_at_company,6,6,1,1
about_us_end_031,end,weekly_hours,40,40,1,1
about_us_end_031,end,ALL_FIELDS,,,1,1
about_us_middle_032,middle,job_title,Analytics Engineer,Analytics Engineer,1,1
about_us_middle_032,middle,department,Marketing Analytics,Marketing Analytics,1,1
about_us_middle_032,middle,years_at_company,2,2,1,1
about_us_middle_032,middle,weekly_hours,35,35,1,1
about_us_middle_032,middle,ALL_FIELDS,,,1,1
about_us_begin_027,begin,job_title,Data Scientist,Data Scientist,1,1
about_us_begin_027,begin,department,Product Analytics,Product Analytics,1,1
