doc_id,position,json_valid,truth_job_title,truth_department,truth_years_at_company,truth_weekly_hours,pred_job_title,pred_department,pred_years_at_company,pred_weekly_hours,acc_job_title,acc_department,acc_years_at_company,acc_weekly_hours,acc_all
about_us_begin_001,begin,1,Data Scientist,Operations,3,35,Data Scientist,Operations,3,35,1,1,1,1,1
about_us_begin_002,begin,1,Analytics Engineer,Engineering,3,40,Analytics Engineer,Engineering,3,40,1,1,1,1,1
about_us_begin_003,begin,1,Data Analyst,Operations,5,40,Data Analyst,Operations,5,40,1,1,1,1,1
about_us_begin_004,begin,1,Senior Data Scientist,People Operations,4,40,Senior Data Scientist,People Operations,4,40,1,1,1,1,1
about_us_begin_005,begin,1,Data Analyst,Data Platform,3,45,Data Analyst,Data Platform,3,45,1,1,1,1,1
about_us_begin_006,begin,1,Software Engineer,Marketing Analytics,4,45,Software Engineer,Marketing Analytics,4,45,1,1,1,1,1
about_us_begin_007,begin,1,Business Analyst,Finance Analytics,6,35,Business Analyst,Finance Analytics,6,35,1,1,1,1,1
about_us_begin_008,begin,1,Data Analyst,Business Intelligence,3,40,Data Analyst,Business Intelligence,3,40,1,1,1,1,1
about_us_begin_009,begin,1,Product Manager,Product Analytics,7,45,Product Manager,Product Analytics,7,45,1,1,1,1,1
about_us_begin_010,begin,1,Software Engineer,Business Intelligence,7,40,Software Engineer,Business Intelligence,7,40,1,1,1,1,1
about_us_begin_011,begin,1,Software Engineer,Marketing Analytics,5,35,Software Engineer,Marketing Analytics,5,35,1,1,1,1,1
about_us_begin_012,begin,1,Data Analyst,People Operations,5,35,Data Analyst,People Operations,5,35,1,1,1,1,1
about_us_begin_013,begin,1,Analytics Engineer,Operations,5,40,Analytics Engineer,Operations,5,40,1,1,1,1,1
about_us_begin_014,begin,1,Software Engineer,Marketing Analytics,2,35,Software Engineer,Marketing Analytics,2,35,1,1,1,1,1
about_us_begin_015,begin,1,Data Scientist,Operations,6,45,Data Scientist,Operations,6,45,1,1,1,1,1
about_us_begin_016,begin,1,Data Scientist,Data Platform,3,40,Data Scientist,Data Platform,3,40,1,1,1,1,1
about_us_begin_017,begin,1,Business Analyst,Finance Analytics,6,40,Business Analyst,Finance Analytics,6,40,1,1,1,1,1
about_us_begin_018,begin,1,Analytics Engineer,Business Intelligence,5,40,Analytics Engineer,Business Intelligence,5,40,1,1,1,1,1
about_us_begin_019,begin,1,Product Manager,Engineering,7,40,Product Manager,Engineering,7,40,1,1,1,1,1
about_us_begin_020,begin,1,Product Manager,Data Platform,3,40,Product Manager,Data Platform,3,40,1,1,1,1,1
about_us_begin_021,begin,1,Product Manager,Business Intelligence,2,45,Product Manager,Business Intelligence,2,45,1,1,1,1,1
about_us_begin_022,begin,1,Software Engineer,Engineering,3,35,Software Engineer,Engineering,3,35,1,1,1,1,1
about_us_begin_023,begin,1,Product Manager,Marketing Analytics,6,40,Product Manager,Marketing Analytics,6,40,1,1,1,1,1
about_us_begin_024,begin,1,Analytics Engineer,Business Intelligence,4,35,Analytics Engineer,Business Intelligence,4,35,1,1,1,1,1
about_us_begin_025,begin,1,Product Manager,Operations,5,40,Product Manager,Operations,5,40,1,1,1,1,1
about_us_begin_026,begin,1,Senior Data Analyst,Engineering,6,35,Senior Data Analyst,Engineering,6,35,1,1,1,1,1
about_us_begin_027,begin,1,Data Scientist,Product Analytics,5,45,Data Scientist,Product Analytics,5,45,1,1,1,1,1
about_us_begin_028,begin,1,Software Engineer,Marketing Analytics,4,45,Software Engineer,Marketing Analytics,4,45,1,1,1,1,1
about_us_begin_029,begin,1,Data Scientist,Data Platform,5,45,Data Scientist,Data Platform,5,45,1,1,1,1,1
about_us_begin_030,begin,1,Software Engineer,Product Analytics,3,40,Software Engineer,Product Analytics,3,40,1,1,1,1,1
about_us_begin_031,begin,1,Business Analyst,Marketing Analytics,3,35,Business Analyst,Marketing Analytics,3,35,1,1,1,1,1
about_us_begin_032,begin,1,Data Scientist,Product Analytics,5,35,Data Scientist,Product Analytics,5,35,1,1,1,1,1
about_us_begin_033,begin,1,Data Scientist,Marketing Analytics,3,35,Data Scientist,Marketing Analytics,3,35,1,1,1,1,1
about_us_begin_034,begin,1,Business Analyst,Business Intelligence,5,45,Business Analyst,Business Intelligence,5,45,1,1,1,1,1
about_us_begin_035,begin,1,Business Analyst,Data Platform,4,35,Business Analyst,Data Platform,4,35,1,1,1,1,1
about_us_begin_036,begin,1,Software Engineer,Business Intelligence,4,35,Software Engineer,Business Intelligence,4,35,1,1,1,1,1
about_us_begin_037,begin,1,Senior Data Analyst,Product Analytics,6,45,Senior Data Analyst,Product Analytics,6,45,1,1,1,1,1
about_us_begin_038,begin,1,Senior Data Scientist,Operations,6,40,Senior Data Scientist,Operations,6,40,1,1,1,1,1
about_us_begin_039,begin,1,Product Manager,Business Intelligence,6,35,Product Manager,Business Intelligence,6,35,1,1,1,1,1
about_us_begin_040,begin,1,Business Analyst,Marketing Analytics,7,35,Business Analyst,Marketing Analytics,7,35,1,1,1,1,1
about_us_begin_041,begin,1,Data Scientist,Finance Analytics,3,40,Data Scientist,Finance Analytics,3,40,1,1,1,1,1
about_us_begin_042,begin,1,Analytics Engineer,Marketing Analytics,7,35,Analytics Engineer,Marketing Analytics,7,35,1,1,1,1,1
about_us_begin_043,begin,1,Data Analyst,Engineering,4,35,Data Analyst,Engineering,4,35,1,1,1,1,1
about_us_begin_044,begin,1,Business Analyst,Operations,5,45,Business Analyst,Operations,5,45,1,1,1,1,1
about_us_begin_045,begin,1,Business Analyst,Operations,3,40,Business Analyst,Operations,3,40,1,1,1,1,1
about_us_begin_046,begin,1,Analytics Engineer,Operations,3,45,Analytics Engineer,Operations,3,45,1,1,1,1,1
about_us_begin_047,begin,1,Analytics Engineer,Product Analytics,5,40,Analytics Engineer,Product Analytics,5,40,1,1,1,1,1
about_us_begin_048,begin,1,Product Manager,Marketing Analytics,6,40,Product Manager,Marketing Analytics,6,40,1,1,1,1,1
about_us_begin_049,begin,1,Senior Data Analyst,People Operations,5,45,Senior Data Analyst,People Operations,5,45,1,1,1,1,1
about_us_begin_050,begin,1,Data Scientist,Data Platform,4,35,Data Scientist,Data Platform,4,35,1,1,1,1,1
about_us_begin_051,begin,1,Data Scientist,Product Analytics,6,35,Data Scientist,Product Analytics,6,35,1,1,1,1,1
about_us_begin_052,begin,1,Data Scientist,Marketing Analytics,3,35,Data Scientist,Marketing Analytics,3,35,1,1,1,1,1
about_us_begin_053,begin,1,Senior Data Analyst,Data Platform,3,45,Senior Data Analyst,Data Platform,3,45,1,1,1,1,1
about_us_begin_054,begin,1,Data Scientist,Data Platform,2,35,Data Scientist,Data Platform,2,35,1,1,1,1,1
about_us_begin_055,begin,1,Product Manager,Finance Analytics,2,40,Product Manager,Finance Analytics,2,40,1,1,1,1,1
about_us_begin_056,begin,1,Product Manager,Marketing Analytics,4,45,Product Manager,Marketing Analytics,4,45,1,1,1,1,1
about_us_begin_057,begin,1,Data Scientist,Operations,6,35,Data Scientist,Operations,6,35,1,1,1,1,1
about_us_begin_058,begin,1,Senior Data Scientist,Engineering,6,35,Senior Data Scientist,Engineering,6,35,1,1,1,1,1
about_us_begin_059,begin,1,Senior Data Analyst,Finance Analytics,7,35,Senior Data Analyst,Finance Analytics,7,35,1,1,1,1,1
about_us_begin_060,begin,1,Data Scientist,Data Platform,4,45,Data Scientist,Data Platform,4,45,1,1,1,1,1
about_us_begin_061,begin,1,Software Engineer,Product Analytics,4,45,Software Engineer,Product Analytics,4,45,1,1,1,1,1
about_us_begin_062,begin,1,Product Manager,Business Intelligence,7,40,Product Manager,Business Intelligence,7,40,1,1,1,1,1
about_us_begin_063,begin,1,Senior Data Scientist,Data Platform,2,40,Senior Data Scientist,Data Platform,2,40,1,1,1,1,1
about_us_begin_064,begin,1,Analytics Engineer,Marketing Analytics,3,40,Analytics Engineer,Marketing Analytics,3,40,1,1,1,1,1
about_us_begin_065,begin,1,Software Engineer,Engineering,4,45,Software Engineer,Engineering,4,45,1,1,1,1,1
about_us_begin_066,begin,1,Data Scientist,Marketing Analytics,7,35,Data Scientist,Marketing Analytics,7,35,1,1,1,1,1
about_us_begin_067,begin,1,Data Scientist,Operations,6,35,Data Scientist,Operations,6,35,1,1,1,1,1
about_us_begin_068,begin,1,Senior Data Scientist,Business Intelligence,3,45,Senior Data Scientist,Business Intelligence,3,45,1,1,1,1,1
about_us_begin_069,begin,1,Senior Data Analyst,Business Intelligence,3,45,Senior Data Analyst,Business Intelligence,3,45,1,1,1,1,1
about_us_begin_070,begin,1,Data Analyst,People Operations,2,45,Data Analyst,People Operations,2,45,1,1,1,1,1
about_us_begin_071,begin,1,Software Engineer,Marketing Analytics,6,40,Software Engineer,Marketing Analytics,6,40,1,1,1,1,1
about_us_begin_072,begin,1,Senior Data Analyst,People Operations,2,35,Senior Data Analyst,People Operations,2,35,1,1,1,1,1
about_us_begin_073,begin,1,Data Scientist,Data Platform,6,45,Data Scientist,Data Platform,6,45,1,1,1,1,1
about_us_begin_074,begin,1,Product Manager,People Operations,7,40,Product Manager,People Operations,7,40,1,1,1,1,1
about_us_begin_075,begin,1,Senior Data Scientist,People Operations,6,45,Senior Data Scientist,People Operations,6,45,1,1,1,1,1
about_us_begin_076,begin,1,Data Analyst,Data Platform,7,35,Data Analyst,Data Platform,7,35,1,1,1,1,1
about_us_begin_077,begin,1,Analytics Engineer,Marketing Analytics,7,40,Analytics Engineer,Marketing Analytics,7,40,1,1,1,1,1
about_us_begin_078,begin,1,Business Analyst,Operations,6,35,Business Analyst,Operations,6,35,1,1,1,1,1
about_us_begin_079,begin,1,Data Analyst,Product Analytics,6,40,Data Analyst,Product Analytics,6,40,1,1,1,1,1
about_us_begin_080,begin,1,Senior Data Analyst,Business Intelligence,5,35,Senior Data Analyst,Business Intelligence,5,35,1,1,1,1,1
about_us_begin_081,begin,1,Data Analyst,Engineering,2,40,Data Analyst,Engineering,2,40,1,1,1,1,1
about_us_begin_082,begin,1,Data Analyst,People Operations,2,45,Data Analyst,People Operations,2,45,1,1,1,1,1
about_us_begin_083,begin,1,Product Manager,Engineering,6,35,Product Manager,Engineering,6,35,1,1,1,1,1
about_us_begin_084,begin,1,Software Engineer,Finance Analytics,5,35,Software Engineer,Finance Analytics,5,35,1,1,1,1,1
